,index,game,session,round,player,player_id,is_bot,displayed_choice_eta,player_choice_eta,timeChoice,timeResults
254,62,all_apps_wide_2024-12-06,5m4a8uoo,9,27vtfec0,7,False,0.0,0.0,389.0,1748.0
255,63,all_apps_wide_2024-12-06,5m4a8uoo,10,ciq5t1rm,1,False,1.0,1.0,358.0,939.0
256,64,all_apps_wide_2024-12-06,5m4a8uoo,10,uknfogys,2,False,1.0,1.0,344.0,928.0
257,65,all_apps_wide_2024-12-06,5m4a8uoo,10,0zsu29c4,3,True,1.0,1.0,229.0,919.0
258,66,all_apps_wide_2024-12-06,5m4a8uoo,10,qrad22bv,4,False,1.0,1.0,353.0,793.0
259,67,all_apps_wide_2024-12-06,5m4a8uoo,10,gnnpegs2,5,True,1.0,1.0,208.0,801.0
260,68,all_apps_wide_2024-12-06,5m4a8uoo,10,n0oeob1a,6,False,1.0,1.0,277.0,831.0
261,69,all_apps_wide_2024-12-06,5m4a8uoo,10,27vtfec0,7,False,0.0,0.0,746.0,1386.0
262,70,all_apps_wide_2024-12-06,5m4a8uoo,11,ciq5t1rm,1,False,1.0,1.0,235.0,703.0
263,71,all_apps_wide_2024-12-06,5m4a8uoo,11,uknfogys,2,False,1.0,1.0,207.0,826.0
264,72,all_apps_wide_2024-12-06,5m4a8uoo,11,0zsu29c4,3,True,1.0,1.0,177.0,750.0
265,73,all_apps_wide_2024-12-06,5m4a8uoo,11,qrad22bv,4,False,1.0,1.0,316.0,817.0
266,74,all_apps_wide_2024-12-06,5m4a8uoo,11,gnnpegs2,5,True,1.0,1.0,310.0,777.0
267,75,all_apps_wide_2024-12-06,5m4a8uoo,11,n0oeob1a,6,False,1.0,1.0,460.0,956.0
268,76,all_apps_wide_2024-12-06,5m4a8uoo,11,27vtfec0,7,False,0.0,0.0,1092.0,1196.0
269,77,all_apps_wide_2024-12-06,5m4a8uoo,12,ciq5t1rm,1,False,1.0,1.0,466.0,1053.0
270,78,all_apps_wide_2024-12-06,5m4a8uoo,12,uknfogys,2,False,1.0,1.0,214.0,898.0
271,79,all_apps_wide_2024-12-06,5m4a8uoo,12,0zsu29c4,3,True,1.0,1.0,204.0,861.0
272,80,all_apps_wide_2024-12-06,5m4a8uoo,12,qrad22bv,4,False,1.0,1.0,269.0,1241.0
273,81,all_apps_wide_2024-12-06,5m4a8uoo,12,gnnpegs2,5,True,1.0,1.0,202.0,1284.0
274,82,all_apps_wide_2024-12-06,5m4a8uoo,12,n0oeob1a,6,False,1.0,1.0,248.0,778.0
275,83,all_apps_wide_2024-12-06,5m4a8uoo,12,27vtfec0,7,False,1.0,1.0,729.0,1271.0
276,84,all_apps_wide_2024-12-06,5m4a8uoo,13,ciq5t1rm,1,False,,,,
277,85,all_apps_wide_2024-12-06,5m4a8uoo,13,uknfogys,2,False,,,,
278,86,all_apps_wide_2024-12-06,5m4a8uoo,13,0zsu29c4,3,True,,,,
279,87,all_apps_wide_2024-12-06,5m4a8uoo,13,qrad22bv,4,False,,,,
280,88,all_apps_wide_2024-12-06,5m4a8uoo,13,gnnpegs2,5,True,,,,
281,89,all_apps_wide_2024-12-06,5m4a8uoo,13,n0oeob1a,6,False,,,,
282,90,all_apps_wide_2024-12-06,5m4a8uoo,13,27vtfec0,7,False,,,,
283,91,all_apps_wide_2024-12-06,5m4a8uoo,14,ciq5t1rm,1,False,,,,
284,92,all_apps_wide_2024-12-06,5m4a8uoo,14,uknfogys,2,False,,,,
285,93,all_apps_wide_2024-12-06,5m4a8uoo,14,0zsu29c4,3,True,,,,
286,94,all_apps_wide_2024-12-06,5m4a8uoo,14,qrad22bv,4,False,,,,
